pipeline_label,chromophore,roi_mean_beta,roi_std_beta,roi_mean_t,roi_max_t,n_channels,hbo_mean_effect,hbr_mean_effect,n_events
PFIR,hbo,3.352062545354113e-05,3.1496192942948075e-06,53.5473118906249,79.04317072262234,5,1.268521024300565e-05,-4.800020902924987e-06,35
PFIR,hbr,-1.1290212343895655e-05,1.720635114590875e-06,-37.89346810359211,-22.315406153885103,5,1.268521024300565e-05,-4.800020902924987e-06,35
PnoMC,hbo,3.4241295558685246e-05,3.90531731915481e-05,38.895436103346256,62.596093052569174,5,1.527562068682021e-05,-3.392891042403766e-06,35
PnoMC,hbr,-1.2654846463150503e-05,5.350036214018943e-06,-19.467127949017858,-13.069091568404364,5,1.527562068682021e-05,-3.392891042403766e-06,35
PnoSS,hbo,3.235924681690752e-05,4.534666545509024e-06,40.887744585681375,52.131235356221765,5,1.268521024300565e-05,-4.800020902924987e-06,35
PnoSS,hbr,-1.0896034002085607e-05,2.5142494388495994e-06,-32.85967235727518,-23.024004814564073,5,1.268521024300565e-05,-4.800020902924987e-06,35
Pref,hbo,3.352062545354113e-05,3.1496192942948075e-06,53.5473118906249,79.04317072262234,5,1.268521024300565e-05,-4.800020902924987e-06,35
Pref,hbr,-1.1290212343895655e-05,1.720635114590875e-06,-37.89346810359211,-22.315406153885103,5,1.268521024300565e-05,-4.800020902924987e-06,35
